"aid","tid","gid","wid","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1","15","30","21","1","1","1.0000","1","1","0","0.0000","0","0"
"1","15","54","17","1","1","1.0000","1","1","5","5.0000","5","5"
"1","15","85","21","1","1","1.0000","1","1","1","1.0000","1","1"
"1","15","117","21","1","6","6.0000","6","6","1","1.0000","1","1"
"1","15","147","21","1","4","4.0000","4","4","0","0.0000","0","0"
"1","15","213","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","15","449","21","1","3","3.0000","3","3","0","0.0000","0","0"
"1","15","699","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","15","809","17","1","2","2.0000","2","2","1","1.0000","1","1"
"1","15","863","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","15","868","21","1","3","3.0000","3","3","3","3.0000","3","3"
"1","15","1170","21","1","2","2.0000","2","2","0","0.0000","0","0"
"1","15","1229","17","1","0","0.0000","0","0","1","1.0000","1","1"
"1","15","1322","17","1","1","1.0000","1","1","2","2.0000","2","2"
"1","15","1341","21","1","0","0.0000","0","0","4","4.0000","4","4"
"1","15","1413","23","1","2","2.0000","2","2","2","2.0000","2","2"
"1","15","1436","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","15","1554","21","1","2","2.0000","2","2","0","0.0000","0","0"
"1","15","1672","17","1","4","4.0000","4","4","0","0.0000","0","0"
"1","15","1714","21","1","0","0.0000","0","0","3","3.0000","3","3"
"1","15","1942","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","15","2066","17","1","6","6.0000","6","6","3","3.0000","3","3"
"1","15","2078","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","15","2149","10","1","12","12.0000","12","12","16","16.0000","16","16"
"1","15","2149","17","2","170","85.0000","170","0","0","0.0000","0","0"
"1","15","2149","18","1","2","2.0000","2","2","0","0.0000","0","0"
"1","15","2149","19","1","1","1.0000","1","1","16","16.0000","16","16"
"1","15","2149","21","21","54","2.5714","36","0","21","1.0000","5","0"
"1","15","2211","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","16","368","21","2","1","0.5000","1","0","1","0.5000","1","0"
"1","16","376","10","1","0","0.0000","0","0","0","0.0000","0","0"
"1","16","464","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","16","553","7","1","0","0.0000","0","0","3","3.0000","3","3"
"1","16","553","21","3","3","1.0000","1","1","4","1.3333","3","0"
"1","16","553","23","1","0","0.0000","0","0","0","0.0000","0","0"
"1","16","743","21","2","0","0.0000","0","0","1","0.5000","1","0"
"1","16","771","18","1","0","0.0000","0","0","6","6.0000","6","6"
"1","16","771","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","16","1129","10","1","3","3.0000","3","3","0","0.0000","0","0"
"1","16","1192","21","1","4","4.0000","4","4","5","5.0000","5","5"
"1","16","1229","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","16","1233","4","1","4","4.0000","4","4","1","1.0000","1","1"
"1","16","1233","21","1","1","1.0000","1","1","0","0.0000","0","0"
"1","16","1233","23","2","1","0.5000","1","0","0","0.0000","0","0"
"1","16","1257","21","1","19","19.0000","19","19","45","45.0000","45","45"
"1","16","1298","21","1","2","2.0000","2","2","1","1.0000","1","1"
"1","16","1322","17","1","7","7.0000","7","7","3","3.0000","3","3"
