"gname","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Al-Sawaiq Brigade","1","1","1.0000","1","1","4","4.0000","4","4"
"Al-Shabaab","1105","4615","4.1765","588","0","5698","5.1566","316","0"
"Al-Shabaab al-Mu'minin","3","3","1.0000","3","0","5","1.6667","5","0"
"Al-Shuda Brigade","4","16","4.0000","8","0","6","1.5000","3","0"
"Al-Toaiman Tribesmen","1","0","0.0000","0","0","0","0.0000","0","0"
"Al-Umar Mujahideen","4","7","1.7500","7","0","27","6.7500","26","0"
"Al-Ummah","13","36","2.7692","3","0","116","8.9231","16","8"
"Al-Zulfikar","3","10","3.3333","7","1","0","0.0000","0","0"
"Albanian extremists","25","28","1.1200","10","0","105","4.2000","43","0"
"Albanian National Army (ANA)","3","2","0.6667","2","0","4","1.3333","4","0"
"Albanian Separatists","1","0","0.0000","0","0","0","0.0000","0","0"
